Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit,Lead_Time_Dias
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,South,Furniture,Bookcases,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,7,0.0,30.54,3
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,South,Furniture,Chairs,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,4,0.0,184.6,3
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,West,Office Supplies,Labels,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,8,0.2,1.19,4
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,South,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.3,178.32,7
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,South,Office Supplies,Storage,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,7,0.2,4.43,7
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Furniture,Furnishings,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,3,0.2,8.03,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Art,OFF-AR-10002833,Newell 322,7.28,7,0.1,0.77,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Technology,Phones,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,8,0.1,142.06,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5,0.2,2.8,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Appliances,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,4,0.1,22.95,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Furniture,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,8,0.0,430.65,5
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Technology,Phones,TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,8,0.2,310.31,5
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,South,Office Supplies,Paper,OFF-PA-10002365,Xerox 1967,15.552,3,0.3,1.45,5
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,West,Office Supplies,Binders,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,6,0.3,127.25,5
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,Central,Office Supplies,Appliances,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.0,9.31,4
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,Central,Office Supplies,Binders,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2,0.3,0.58,4
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,Central,Office Supplies,Storage,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,8,0.3,142.51,7
CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,West,Office Supplies,Storage,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,6,0.2,12.05,2
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Office Supplies,Art,OFF-AR-10003056,Newell 341,8.56,2,0.0,2.29,5
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Technology,Phones,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,5,0.2,35.12,5
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Office Supplies,Binders,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,1,0.0,3.31,5
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,Central,Office Supplies,Art,OFF-AR-10000246,Newell 318,19.46,6,0.2,5.95,4
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,Central,Office Supplies,Appliances,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,9,0.2,7.0,4
US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,East,Furniture,Chairs,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.372,1,0.1,7.43,2
